Params,item,desc,UOS,Pack_Description,Hierarchy1,Hierarchy2,Hierarchy3,UOP,sSell1,sSell2,sSell3,sSell4,sSell5,pack1,pack2,pack3,pack4,pack5,EAN
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",14217,HEETS AMBER LABEL,10,20'S,19 ECIG/VAPE,,,1,55.99,0,0,0,0,1,0,0,0,0,5.06059E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",14218,HEETS YELLOW LABEL,10,20'S,19 ECIG/VAPE,,,1,55.99,0,0,0,0,1,0,0,0,0,5.06059E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",14219,HEETS SIENNA LABEL,10,20'S,19 ECIG/VAPE,,,1,55.99,0,0,0,0,1,0,0,0,0,5.06059E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15087,VYPE EPEN 3 TROPICAL MANGO VPRO 12MG,6,12MG,19 ECIG/VAPE,,,1,21.99,0,0,0,0,1,0,0,0,0,
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15481,INSTAHIT,20,2ML,19 ECIG/VAPE,,,1,9.99,0,0,0,0,1,0,0,0,0,9.5068E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15623,VUSE EPEN PODS DARK CHERRY 12MG,6,,19 ECIG/VAPE,,,1,27.49,0,0,0,0,1,0,0,0,0,5.00039E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15624,VUSE EPEN PODS WILD BERRY 12MG,6,,19 ECIG/VAPE,,,1,36.49,0,0,0,0,1,0,0,0,0,5.00039E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15625,VUSE EPOD STARTER KIT GRAPHITE DEVICE,5,1,19 ECIG/VAPE,,,1,34.99,0,0,0,0,1,0,0,0,0,5.00039E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15627,VUSE EPOD CART VPRO TROP MANGO 18MG,5,18MG,19 ECIG/VAPE,,,1,25.49,0,0,0,0,1,0,0,0,0,5.00039E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15628,VUSE EPOD CART VPRO CHILL MINT 18MG,5,18MG,19 ECIG/VAPE,,,1,25.49,0,0,0,0,1,0,0,0,0,
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15629,VUSE EPOD CART VPRO GOLD TOB 18MG,5,18MG,19 ECIG/VAPE,,,1,25.49,0,0,0,0,1,0,0,0,0,5.00039E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15630,VUSE EPOD CART VPRO P/MINT TOB 18MG,5,18MG,19 ECIG/VAPE,,,1,25.49,0,0,0,0,1,0,0,0,0,5.00039E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15631,VUSE EPOD PODS VPRO TROP MANGO 12MG,5,12MG,19 ECIG/VAPE,,,1,25.49,0,0,0,0,1,0,0,0,0,5.00039E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15632,VUSE EPOD PODS VPRO VERY BERR 12MG,5,12MG,19 ECIG/VAPE,,,1,25.49,0,0,0,0,1,0,0,0,0,5.00039E+12
